20世纪福克斯电影公司,22336.51;49864.21;659.66;659.66;69994.74;19235.33;48450.97;5992.35;76299.17,9
华夏电影发行有限责任公司,22336.51;49864.21;659.66;659.66;69994.74;19235.33;48450.97;5992.35;2918.67;294.83;1644.58;6060.21;730.92;730.92;4804.77;80646.4;3429.41;1621.23;738.13;10616.82;32091.39;36519.86;111733.85;10566.71;138775.14;33317.13;9416.46;213.53;32560.88;5099.26;39362.42;1192.31;3510.15;10279.91;51927.26;9431.34;9380.03;32201.4;168.82;36.01;61321.19;11040.8;331.03;4471.64;3932.36;11109.45;1758.83;5316.6;4903.84;156849.32;20614.89;25172.98;10298.3;11.54;6.94;47170.25;34197.35;12063.38;25641.3;927.23;679.72;2511.71;113.57;113.57;145.51;145.51;196.32;17065.16;2077.26;42.34;797.84;7888.77;10266.09;2165.98;3188.58;131747.2;113.37;47519.74;8.97;64.79;1.99;18797.69;2565.3;21792.7;54501.84;55038.02;35605.54;35605.54;37267.2;4390.21;22359.05;14155.14;2074.18;13476.19;32368.23;7806.18;3181.89;3503.42;16383.58;139.49;2236.32;10150.32;395.29;6905.7;7.5;4.16;31185.45;5659.57;1289.78;16283.72;63.36;56222.47;1926.28;4681.75;57.01;35365.42;11325.13;2466.3;51427.48;27499.38;187.19;7.43;18.56;9487.26;3136.39;1209.88;2.66;27829.32;55.07;384.77;2301.32;19832.71;233.41;2786.04;8.99;37719.75;195358.45;23.95;12205.6;29344.14;11528.38;1.8;552.34;541.34;4637.22;19.13;856.03;41999.6;2386.42;29646.2;6266.16;830.03;100.91;139.26;25640.61;58243.15;31.3;35046.51;3.48;736.12;15729.54;6162.56;13922.91;12557.92;17.7;48579.97;388.25;433.72;9.98;442.68;20692.58;39.85;8153.92;15409.77;8694.8;797.4;57583.4;71290.65;34828.33;15547.38;634.69;742.13;5973.12;5901.69;19261.36;39074.66;4194.73;6213.41;643.64;5874.95;270.39;13332.7;263.81;8646.49;35145.2;15.95;51765.95;203.98;769.4;38.54;5395.23;67.83;650.53;32924.21;6094.4;3188.19;52.58;2422.48;12980.02;7005.19;100234.58;69.69;47572.38;959.72;18627.33;3622.96;3733.07;305.97;263.27;262.72;8.68;79.94;6124.61;25136.87;37151.44;9905.05;1005.95;18814.79;16451.77;19701.61;5417.22;43745.36;112.58;151.76;1685.59;38.43;11051.44;56.2;285.85;8724.18;14972.14;28177.12;17265.94;28295.43;92.35;5317.56;5317.56;37103.04;359.95;1611.7;15325.51;45789.54;3649.47;66554.2;68051.6;70316.87;96434.81;1221.57;6272.47;6272.47;15768.07;665.47;25870.79;19078.61;4298.8;7090.28;100.87;939.27;59078.07;87872.52;1029.31;54.07;562.66;136843.87;40794.54;491.91;29085.89;4841.82;39373.97;37018.78;35702.84;9348.02;55807.11;78093.51;68193.49;21077.65;210.56;5675.14;27971.77;18349.05;18349.05;1097.03;113.22,293
Big Picture 2 Films ,49864.21;69994.74;19235.33;9416.46;8724.18,5
Contender ,659.66;659.66,2
Seville Pictures ,659.66;659.66,2
HanWay Films ,659.66;659.66,2
中国电影集团公司,659.66;659.66;48450.97;5992.35;76299.17;2315.95;60404.29;40077.74;9054.52;3499.66;42705.19;10566.71;138775.14;33317.13;71545.56;28532.78;62707.87;1088.56;412.98;607.6;607.6;7771.45;9957.45;105.08;241.19;71290.65;34828.33;8724.18;59078.07;87872.52;949.3;37018.78;80.92;80.92;273226.86;8393.75;742.63;926.27;4741.99;55.66;3203.86;3368.16;29.57;3519.63;14.97;3733.78;1371.43;7692.99;7692.99;71.53;2.31,51
Odeon ,69994.74;22843.4;11824.55;60404.29;1621.23;813.98,6
Twentieth Century Fox C.I.S. ,69994.74,1
Westec Media Limited ,69994.74;19235.33;22843.4;138775.14;10279.91;34828.33;9905.05,7
二十世纪福斯电影公司,69994.74;48450.97;40077.74,3
二十世纪福斯公司,69994.74;48450.97;40077.74;33317.13,4
20世纪福克斯阿根廷分公司,69994.74;48450.97;40077.74,3
SF Film Finland ,69994.74;48450.97;40077.74;28532.78,4
Sena ,69994.74,1
二十世纪福斯德国分公司,69994.74;48450.97;40077.74,3
华纳兄弟公司,69994.74;48450.97;2315.95;40077.74;138775.14;28532.78,6
二十世纪福斯荷兰分公司,69994.74;48450.97;40077.74,3
20th Century Fox de Chile ,69994.74,1
Blitz Film & Video Distribution ,69994.74,1
20,69994.74,1
20世纪福斯公司,48450.97;40077.74,2
上海众明优影影视文化传媒有限公司,76299.17,1
Argentina Video Home ,31308.43,1
Sony Pictures Entertainment ,31308.43,1
CIC Vídeo ,31308.43,1
CIC-Taft Home Video ,31308.43,1
United International Pictures (UIP) ,31308.43;42705.19;111733.85;10566.71;138775.14;33317.13;9416.46;9848.75;10279.91;4841.82;39373.97;37018.78;35702.84,13
National Broadcasting Company (NBC) ,31308.43,1
Pioneer ,31308.43,1
Universal Pictures Benelux ,31308.43,1
Columbia TriStar Home Entertainment ,31308.43,1
Universal Home Entertain,31308.43,1
Ascot Elite Entertainment Group ,2255.32;776.26;776.26;2918.67;23604.01;294.83;1644.58;15959.6;22843.4;1982.08;3429.41;11824.55;60404.29;1621.23;3499.66;3513.45,16
Alfa Films ,2255.32;22843.4;11824.55;60404.29;10616.82,5
狮门影业公司,2255.32;22843.4;1982.08;2953.88,4
Eagle Films ,2255.32;2918.67;4231.85;9054.52;32091.39;453.16,6
SND ,776.26;776.26;23604.01;11824.55;60404.29;10616.82;32091.39;3513.45,8
Golden Village Pictures ,776.26;776.26;2315.95;11824.55;9054.52;10616.82;28532.78;47572.38;4741.99,9
韦恩斯坦国际影业公司,776.26;776.26,2
Tobis Film GmbH & Co. KG ,776.26;776.26,2
E Stars Films ,2918.67;730.92;730.92;1264.88;738.13;2953.88,6
Pinema ,2918.67;1264.88;3429.41;1621.23;3499.66;3513.45,6
印纪影视娱乐传媒有限公司,23604.01,1
狮门娱乐公司,23604.01,1
Tanweer Films ,294.83;738.13;797.4,3
Wide Pictures ,294.83,1
IPA Asia Pacific ,294.83,1
Tele München Fernseh Produktionsgesellschaft (TMG) ,294.83,1
韦恩斯坦公司,1644.58;1611.7,2
Pancinema ,1644.58;4741.99,2
Front Row Filmed Entertainment ,1644.58;1968.76,2
Bazelevs Production ,5989.2,1
Cathay-Keris Films Pte. Ltd. ,241.69;10100.85;1621.23;32091.39,4
Central Partnership ,3056.76,1
Columbia Pictures ,6060.21,1
索尼发行公司,6060.21;9416.46;9848.75;10279.91;51927.26;9431.34;8724.18;273226.86,8
Concorde Filmverleih ,15959.6;22843.4,2
Independent Films ,15959.6;22843.4;11824.55;60404.29,4
Cathay-Keris Films ,15959.6;22843.4,2
Pioneer Films ,15959.6;11824.55,2
Constantin Film Verleih ,15959.6,1
Mongkol Major ,15959.6;22843.4;10100.85;11824.55;60404.29;813.98;2953.88,7
Entertainment One ,15959.6;1621.23;1227.2;1227.2,4
SND Films ,15959.6;22843.4;3499.66,3
Cuvision ,15959.6,1
bf Distribution ,15959.6;11824.55;60404.29;1227.2;1227.2,5
Joyncontents Group ,15959.6;11824.55,2
Moments Entertainment ,15959.6,1
顶峰娱乐公司,15959.6;60404.29;9054.52;797.4,4
Nordisk Film ,22843.4;11824.55;60404.29,3
GAGA ,22843.4,1
Belga Films ,22843.4;11824.55,2
乐视影业（北京）有限公司,22843.4;9054.52;8146.24;16553.81;4960.16;33481.78;19701.61;5417.22;22169.31;5052.75;2441.83;9205.38;11180.46;1777.57;4720.91;6293.78;938.97;12363.62;2172.05;2920.82;7336.79;49442.05;47952.73;288.64;944.12;167.71;65276.9;44859.91;1541.2;14007.37;24804.35;21245.1;23711.92;21055.65;90045.7,35
Pris Audiovisuais ,22843.4;11824.55,2
Monolith Films ,22843.4,1
bf Dis,22843.4,1
Concorde Home Entertainment ,1982.08;3513.45,2
Metropolitan Filmexport ,1982.08;1621.23;9054.52,3
Entertainment in Video ,1982.08;3513.45,2
Corazón Films ,1982.08,1
Paris Filmes ,1982.08,1
Roadshow Film Distributors ,1982.08,1
Lionsgate Home Entertainment ,1982.08,1
Roadshow Films ,1982.08;1264.88;80646.4;9054.52;3499.66;32091.39,6
Entertainment One Benelux ,1982.08;32091.39;3513.45,3
Pris Au,1982.08,1
Twin Co. Ltd. ,730.92;730.92,2
Splendid Film ,730.92;730.92;9054.52,3
Sun Distribution ,730.92;730.92,2
Circuito Cinema ,730.92;730.92,2
MVP Pictures ,730.92;730.92,2
Entermode ,730.92;730.92,2
Ayngaran Video ,730.92,1
Ayn,730.92,1
Nu Image Films ,4231.85,1
EuropaCorp. Distribution ,10100.85;4804.77,2
Prorom Media-Trade ,10100.85;80646.4,2
Diamond Films ,10100.85;1621.23;32091.39;3513.45,4
VVS Films ,10100.85;9054.52;32091.39;3513.45;453.16,5
DeA Planeta S.L. ,10100.85;3513.45,2
Colossal Mega Films ,10100.85;4741.99,2
EuropaCorp USA ,10100.85,1
Relativity EuropaCorp Distribution (RED) ,10100.85,1
Universum Film ,10100.85,1
北京橙天嘉禾影视制作有限公司,4804.77;233.32;568.37;8146.24;33481.78;1288.2;10166.93;6840.66,8
Future Film ,80646.4;3513.45,2
Shaw Organisation ,80646.4;60404.29;813.98;213.53,4
北京唐德国际文化传媒有限公司,80646.4,1
北京中联华盟文化传媒投资有限公司,80646.4;36.32;7771.45;103033.15;12980.02;7005.19,6
天津联瑞影业有限公司,80646.4;68422.61;31777.27;156536.11;62707.87;12980.02;273226.86;2590.46,8
北京唐德国际电影文化有限公司,80646.4,1
和和（上海）影业有限公司,80646.4;12980.02;273226.86,3
Saban Films ,80646.4,1
Dutch FilmWorks (DFW) B.V. ,80646.4,1
黑蚂蚁(上海)影业有限公司,80646.4,1
Bloom ,80646.4,1
GAGA Communications ,3429.41,1
Geo Films ,2315.95,1
华纳兄弟影片公司,2315.95;138775.14;28532.78,3
美国华纳兄弟影片公司,2315.95;138775.14,2
华纳兄弟影业公司,2315.95,1
Leeding Media ,11824.55;10616.82,2
Concorde Filmverleih GmbH ,11824.55;3513.45,2
Kadokawa ,60404.29,1
NOS Audiovisuais ,60404.29;42705.19;39373.97;37018.78,4
Red Chillies Entertainment ,60404.29,1
顶峰娱乐,60404.29;9054.52,2
InterCom ,40077.74,1
20世纪福克斯挪威分公司,40077.74,1
Paradise Group ,1621.23,1
Viva International Pictures ,1621.23,1
Capelight Pictures ,1621.23,1
STX Entertainment ,1621.23,1
Showtime Networks Inc,1621.23,1
千禧年影业,9054.52;32091.39,2
lions gate,9054.52,1
Momentum Pictures ,738.13,1
Aurum Producciones ,738.13;3499.66;2953.88,3
Alliance Films ,738.13,1
Océan Films ,813.98,1
乌发电影公司,813.98;2953.88,2
Wild Bunch ,813.98,1
Svensk Filmindustri (SF) AB ,813.98,1
爱奇艺影业（北京）有限公司,813.98;1164.17;12358.88;128.65;180.87;3995.44;839.0;413.51;13728.25;15547.38;9981.35,11
华桦传媒,813.98,1
Axinite Digicinema ,813.98,1
Universum Film A.G. (UFA) ,813.98,1
Telepool GmbH ,813.98,1
Columbia ,813.98,1
Beijing Youshi Entertainment Co. ,813.98,1
Huahua Film & Media Culture ,813.98,1
Pony Canyon ,3499.66,1
Relativity Pictures LLC ,3499.66,1
Dreamwest Pictures ,3499.66,1
FilmNation Entertainment ,3499.66,1
Adler Entertainment ,3499.66,1
焦点电影公司,32091.39;213.53;3513.45,3
上海电影译制厂,32091.39,1
Gramercy Pictures ,32091.39,1
Universum-Film GmbH ,32091.39,1
Panorama Studios ,32091.39,1
Svensk Filmindustri (SF) ,2953.88,1
Icon Film Distribution ,2953.88,1
E1 Entertainment Benelux ,2953.88,1
CP Media ,2953.88,1
MVP Entertainment ,2953.88,1
Alliance ,2953.88,1
IDC ,2953.88,1
The Walt Disney Company ,4784.07,1
上海尚世影业有限公司,4784.07;29878.8;432.49;3611.44;3282.89,5
Toho-Towa ,36519.86,1
环球影业公司,36519.86;42705.19;111733.85;10566.71;138775.14;33317.13;9848.75;51927.26;37151.44;9905.05;8724.18;35702.84;78093.51;68193.49,14
TriStar Pictures ,10093.24;8724.18,2
Twin Film ,1507.74,1
Karma Films ,1507.74,1
Universal Pictures Home Entertainment (UPHE) ,1507.74,1
Haut et Court ,1507.74,1
WestEnd Films ,1507.74,1
GKIDS ,1507.74,1
O'Brother Distribution ,1507.74,1
KSM ,1507.74,1
KVH Media Group ,1507.74,1
Miracle Voice ,1507.74,1
New KSM ,1507.74,1
Legendmain Filmes ,1507.74,1
Child Film ,1507.74,1
Universal Pictures ,42705.19,1
Universal Pictures International (UPI) ,42705.19;10566.71;138775.14;33317.13;213.53;39373.97,6
Universal Pictures International ,42705.19;10566.71;138775.14;33317.13;9416.46;1227.2;1227.2;39373.97;37018.78,9
Andes Films ,42705.19;10566.71;138775.14;33317.13;9416.46;10279.91;8724.18;39373.97;37018.78,9
Finnkino Oy ,42705.19;138775.14;33317.13;37018.78,4
东宝东和,42705.19;138775.14;33317.13,3
哥伦比亚影业公司,42705.19;37018.78,2
环球影业,42705.19;10566.71;138775.14;33317.13;8724.18,5
Universal Pictures Finland ,10566.71,1
Universal Pictures Germany ,10566.71,1
中国电影股份有限公司,10566.71;33317.13;71545.56;28532.78;103033.15;34828.33;7692.99;7692.99,8
Karantanija Cinemas ,138775.14,1
Walt Disney Studios Motion Pictures Finland ,9416.46;71545.56;34828.33,3
Feelgood Entertainment ,9416.46;34828.33,2
Sony Pictures Entertainment Inc. ,9416.46;51927.26,2
Sony Pictures Releasing ,9416.46;213.53;39373.97,3
哥伦,9416.46,1
Universal Home Entertainment ,213.53,1
Panorama Entertainment ,213.53,1
IPA ,213.53,1
Film4 ,213.53,1
Walt Disney Studios Motion Pictures ,71545.56;57583.4;71290.65;34828.33,4
华特・迪士尼电影工作室,71545.56;34828.33,2
华特・迪士尼电影公司,71545.56;34828.33,2
Walt Disney Studios Japan ,71545.56;34828.33,2
华特・迪士尼与索尼联合发行公司,71545.56,1
Warner Bros. ,28532.78;32560.88;5099.26,3
Warner Bros. GmbH ,28532.78,1
Warner Bros. Espa?ola S.A. ,28532.78,1
长影集团译制制作有限责任公司,28532.78,1
White Tusk Movies ,28532.78,1
华纳家庭娱乐公司,5099.26,1
Columbia TriStar Warner Filmes de Portugal ,5099.26,1
阿里巴巴影业集团有限公司,11059.01;7771.45,2
华策影业（天津）有限公司,11059.01;13728.25;19907.12;161.9;2898.67;5973.12;79.94;6124.61;25136.87;92.75;92.75,11
星汇天姬（北京）影视传媒有限公司,11059.01,1
广东珠江电影集团有限公司,11059.01,1
北京热血游族文化传媒有限公司,413.51,1
阿甘（北京）国际影业有限公司,413.51,1
爱微笑文化传媒（北京）有限公司,341.24;8.23;610.75;223.69;861.57;102.65,6
北京基点影视文化传媒有限公司,341.24;568.37;21.51;55.37;1007.32;423.34;308.08;810.92;583.32;700.85;1129.37;41.46;223.8;1649.07;846.21;62.55;2406.3;6085.88,18
北京猎海影视有限公司,8.23;2.31,2
安乐（北京）电影发行有限公司,207.01;16959.26;10022.88;68422.61;29878.8;31777.27;156536.11;62707.87;28613.17;4741.99,10
北京德俊文化发展有限公司,207.01,1
北京联瑞影业有限公司,16959.26;10022.88;14556.55;27827.61;882.15;882.15;2273.5;11501.93;14569.56;7593.0;4820.58;47572.38;8110.08;16318.6;273226.86;28613.17;7582.47;17796.94,18
北京微影时代科技有限公司,68422.61;5306.06;57461.53;274.65;2081.57;103033.15;7996.43;13728.25;241.19;5395.23;650.53;32924.21;6124.61;25136.87;5015.86;136843.87;167.71;65276.9;6340.25;8393.75;18349.05;18349.05;90045.7;970.77,24
北京百度糯米信息技术有限公司,68422.61;1864.87;1864.87;1088.56;5973.12;21055.65,6
无锡市淘宝影视文化传播有限公司,68422.61,1
中国电影股份有限公司北京电影发行分公司,62707.87;412.98;241.19;8393.75;25371.2;3203.86;3368.16,7
百度在线网络技术（北京）有限公司,62707.87;274.65;103033.15;3622.96,4
奥飞影业投资（北京）有限公司,3616.4;1606.7;37651.96,3
大银幕(北京)电影发行控股有限公司,3616.4;183.66;77168.36;1772.6;65.26,5
奥飞影业（上海）有限公司,3616.4,1
剧麦（天津）电影策划有限公司,1606.7;5395.23;37651.96;5356.95;119.36,5
广州英明文化传播有限公司,1606.7,1
寰宇纵横世纪电影发行（北京）有限公司,1606.7;1772.6;16451.77;439.99;437.61;2591.68;2132.88,7
天津银河文化传媒有限公司,1606.7;274.65;4104.79;77.15;35145.2;321.61;6085.88,7
八一电影制片厂,3513.45;1227.2;1227.2;1471.82;39362.42,5
Eagle Pictures ,3513.45;1227.2;1227.2,3
Entertainment ,3513.45,1
Senator Film ,1227.2;1227.2,2
eOne Films ,1227.2;1227.2,2
Global Screen ,1227.2,1
北京新影联影业有限责任公司,1471.82;47.38;13334.85;1192.31;5667.68;668.94;668.94;881.97;881.97;2074.77;75.38,11
河南奥斯卡院线有限责任公司,1471.82;8.84;263.27;1565.74;1553.85,5
浙江博纳影视制作有限公司,1471.82;668.94;668.94;881.97;881.97;700.76,6
湖北银兴院线影业有限责任公司,1471.82;8.68;329.28;1967.74;1553.85,5
河北影视集团有限公司,1471.82,1
天津银光院线公司,1471.82,1
北京安石纳影文化有限公司,417.43;5675.14,2
北京安石英纳电影发行公司,444.29;1256.9,2
北京安石英纳影视文化有限公司,72.01;154.49;1923.76;1727.51;923.65;88716.04;103033.15;634.69;742.13,9
大地时代电影发行（北京）有限公司,1923.76;8146.24;2073.61;2632.13;6765.48;69.69;2074.77;21077.65;1288.2;5675.14;5390.25,11
浙江时代电影大世界有限公司,1923.76;2373.34,2
浙江星光电影院线有限公司,1923.76;223.69;1967.74;1565.74;1553.85,5
江苏安石英纳电影发行有限公司,1727.51;103033.15,2
中影数字电影发展(北京)有限公司,1727.51;506.25;102.31;53.14;53.14;71.53;2.31,7
江苏安石英纳影业有限公司,923.65,1
万达影视传媒有限公司,88716.04;252.59;48497.36;8146.24;19773.11;18814.79;11051.44;37103.04;359.95;1221.57;6272.47;6272.47;40794.54;20338.58;23711.92;21077.65;1288.2;10166.93;3880.56;5390.25;35389.03;45720.22;2327.81;1688.95;2732.78;6954.98;242.24;120.97,28
永康枫海影业有限公司,1864.87;1864.87,2
枫海影业有限公司,1864.87;1864.87,2
枫海科技,1864.87;1864.87,2
北京北广传媒影视有限公司,252.59,1
北京不亦乐乎电影文化发展有限公司,48497.36,1
五洲电影发行有限公司,48497.36;5616.69;929.01;39074.66;32924.21;18814.79;11051.44;5317.56;5317.56;45789.54;3649.47;66554.2;68051.6;70316.87;96434.81;1221.57;6272.47;6272.47;136843.87;40794.54;20338.58;21055.65;7396.18;8393.75;27971.77;90045.7;25371.2;1333.82;39691.56;98718.53;14383.14,31
东阳一步到位影视有限公司,48497.36,1
无锡旗开得胜影视有限公司,48497.36,1
大众点评网,48497.36;6610.54;6124.61;96434.81;321.61,5
广州金逸影视传媒股份有限公司,8146.24;929.01;5390.25,3
浙江横店电影发行有限公司,8146.24;65.26;2074.77;1288.2;5390.25;6840.66;6620.23,7
北京创世星国际影视文化有限公司,567.94,1
北京帧画面影视文化传播有限公司,567.94;515.81;325.19;58.43;192.88;74.34,6
春秋永乐影视文化投资（北京）有限公司,567.94;5395.23;1029.31,3
北京大势渡文化传媒,42.98,1
水母互动（天津）科技有限公司,42.98,1
北京顶峰传奇影视文化有限公司,216.43;487.29;487.29;4104.79,4
北京东方画面影视文化有限公司,1493.24;1624.76,2
珠江影业传媒股份有限公司,1493.24;587.22;2193.38;5356.95;2373.34;22428.66;404.33;24804.35;21245.1;834.53;2074.77;75.38;521.19;10166.93;3869.69;5390.25;6840.66;3600.03;4481.63;553.82;6620.23;98.49;711.14;43.15;4551.75;188.72;672.71;8238.7;6085.88;2591.68;2132.88;3282.89;14383.14,33
洲立影片发行（香港）有限公司,1493.24;47572.38,2
北京东荣慧影影视文化传媒有限公司,1.14,1
北京锋尚锐志传媒有限公司,131.63,1
北京锋尚锐志文化传媒有限公司,610.75;506.25;1565.74;1553.85;329.42,5
合肥泰尚文化科技有限公司,506.25,1
峨眉电影集团有限公司,506.25;19.42;88.83;32.58,4
北京光线传媒股份有限公司,64119.72;821.49;5549.85;51042.92;273226.86,5
